sesgo_abs,percived_distance,target_distance,subject,condition,target_distance_lin,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_sd,rel_bias_sem,rel_bias_var,rel_bias_n,rel_bias,abs_bias
0.6,-0.017728766960431602,0.38021124171160603,S001,Ear level,2.4,0.0547722557505166,0.024494897427831775,0.0029999999999999988,5,0.96,0.022821773229381902,0.010206207261596566,5.208333333333325e-4,5,-0.6,0.6
0.29166666666666663,0.2304489213782739,0.38021124171160603,S002,Ear level,2.4,0.27386127875258304,0.12247448713915889,0.075,5,1.7,0.11410886614690963,0.051031036307982884,0.013020833333333337,5,-0.29166666666666663,0.29166666666666663
0.44166666666666665,0.12710479836480765,0.38021124171160603,S003,Ear level,2.4,0.31304951684997057,0.13999999999999999,0.09800000000000002,5,1.34,0.13043729868748777,0.05833333333333335,0.017013888888888898,5,-0.44166666666666665,0.44166666666666665
0.12499999999999996,0.3222192947339193,0.38021124171160603,S004,Ear level,2.4,0.22360679774997896,0.09999999999999999,0.05,5,2.1,0.09316949906249124,0.041666666666666664,0.008680555555555556,5,-0.12499999999999996,0.12499999999999996
0.7333333333333333,-0.1938200260161128,0.38021124171160603,S005,Ear level,2.4,0.21908902300206645,0.09797958971132713,0.048,5,0.64,0.09128709291752765,0.040824829046386284,0.008333333333333326,5,-0.7333333333333333,0.7333333333333333
0.7666666666666666,-0.25181197299379965,0.38021124171160603,S006,Ear level,2.4,0.0547722557505166,0.024494897427831775,0.0029999999999999988,5,0.5599999999999999,0.022821773229381902,0.010206207261596566,5.208333333333325e-4,5,-0.7666666666666666,0.7666666666666666
0.5166666666666667,0.06445798922691845,0.38021124171160603,S007,Ear level,2.4,0.47749345545253286,0.2135415650406262,0.22799999999999998,5,1.16,0.19895560643855537,0.08897565210026093,0.03958333333333334,5,-0.5166666666666667,0.5166666666666667
4.4411631490437475e-17,0.38021124171160603,0.38021124171160603,S008,Ear level,2.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.22821773229381923,0.10206207261596575,0.052083333333333336,5,4.4411631490437475e-17,4.4411631490437475e-17
0.5,0.07918124604762482,0.38021124171160603,S009,Ear level,2.4,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.1863389981249825,0.08333333333333334,0.03472222222222224,5,-0.5,0.5
0.8416666666666667,-0.42021640338318983,0.38021124171160603,S010,Ear level,2.4,0.10954451150103323,0.048989794855663564,0.012000000000000002,5,0.38,0.04564354645876392,0.020412414523193187,0.0020833333333333407,5,-0.8416666666666667,0.8416666666666667
0.47500000000000003,0.10037054511756291,0.38021124171160603,S012,Ear level,2.4,0.25099800796022265,0.11224972160321822,0.063,5,1.26,0.10458250331675946,0.04677071733467427,0.010937500000000005,5,-0.47500000000000003,0.47500000000000003
0.5,0.07918124604762482,0.38021124171160603,S013,Ear level,2.4,0.27386127875258304,0.12247448713915889,0.075,5,1.2,0.11410886614690963,0.051031036307982884,0.013020833333333337,5,-0.5,0.5
0.7083333333333334,-0.1549019599857432,0.38021124171160603,S014,Ear level,2.4,0.27386127875258304,0.12247448713915889,0.075,5,0.7,0.11410886614690956,0.05103103630798285,0.013020833333333324,5,-0.7083333333333334,0.7083333333333334
0.7916666666666666,-0.3010299956639812,0.38021124171160603,S015,Ear level,2.4,0,0,0,5,0.5,0,0,0,5,-0.7916666666666666,0.7916666666666666
0.7999999999999999,-0.3187587626244128,0.38021124171160603,S016,Ear level,2.4,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,0.48,0.018633899812498283,0.008333333333333349,3.472222222222235e-4,5,-0.7999999999999999,0.7999999999999999
0.6083333333333334,-0.026872146400301312,0.38021124171160603,S017,Ear level,2.4,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.9400000000000001,0.03726779962499646,0.016666666666666653,0.0013888888888888863,5,-0.6083333333333334,0.6083333333333334
0.12499999999999997,0.3222192947339193,0.38021124171160603,S019,Ear level,2.4,0.4183300132670378,0.18708286933869706,0.175,5,2.1,0.1743041721945991,0.07795119555779045,0.03038194444444445,5,-0.12499999999999997,0.12499999999999997
0.5916666666666667,-0.00877392430750515,0.38021124171160603,S001,Floor level,2.4,0.08366600265340758,0.037416573867739424,0.007000000000000004,5,0.98,0.034860834438919824,0.015590239111558093,0.0012152777777777784,5,-0.5916666666666667,0.5916666666666667
0.5,0.07918124604762482,0.38021124171160603,S002,Floor level,2.4,0.27386127875258304,0.12247448713915889,0.075,5,1.2,0.11410886614690963,0.051031036307982884,0.013020833333333337,5,-0.5,0.5
0.48333333333333334,0.09342168516223506,0.38021124171160603,S003,Floor level,2.4,0.25099800796022265,0.11224972160321822,0.063,5,1.24,0.10458250331675946,0.04677071733467427,0.010937500000000005,5,-0.48333333333333334,0.48333333333333334
0.12499999999999996,0.3222192947339193,0.38021124171160603,S004,Floor level,2.4,0.22360679774997896,0.09999999999999999,0.05,5,2.1,0.09316949906249124,0.041666666666666664,0.008680555555555556,5,-0.12499999999999996,0.12499999999999996
0.7916666666666666,-0.3010299956639812,0.38021124171160603,S005,Floor level,2.4,0,0,0,5,0.5,0,0,0,5,-0.7916666666666666,0.7916666666666666
0.6833333333333333,-0.11918640771920865,0.38021124171160603,S006,Floor level,2.4,0.16733200530681513,0.07483314773547883,0.028000000000000004,5,0.76,0.06972166887783962,0.031180478223116172,0.0048611111111111095,5,-0.6833333333333333,0.6833333333333333
0.375,0.17609125905568124,0.38021124171160603,S007,Floor level,2.4,0,0,0,5,1.5,0,0,0,5,-0.375,0.375
0.20833333333333331,0.2787536009528289,0.38021124171160603,S008,Floor level,2.4,0.22360679774997896,0.09999999999999999,0.05,5,1.9,0.09316949906249125,0.04166666666666667,0.00868055555555556,5,-0.20833333333333331,0.20833333333333331
0.5833333333333334,0,0.38021124171160603,S009,Floor level,2.4,0,0,0,5,1,0,0,0,5,-0.5833333333333334,0.5833333333333334
0.7916666666666666,-0.3010299956639812,0.38021124171160603,S010,Floor level,2.4,0,0,0,5,0.5,0,0,0,5,-0.7916666666666666,0.7916666666666666
0.3083333333333333,0.22010808804005508,0.38021124171160603,S012,Floor level,2.4,0.3209361307176242,0.14352700094407322,0.103,5,1.66,0.1337233877990101,0.05980291706003051,0.017881944444444447,5,-0.3083333333333333,0.3083333333333333
0.5833333333333334,0,0.38021124171160603,S013,Floor level,2.4,0,0,0,5,1,0,0,0,5,-0.5833333333333334,0.5833333333333334
0.75,-0.2218487496163564,0.38021124171160603,S014,Floor level,2.4,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.0931694990624912,0.041666666666666644,0.008680555555555549,5,-0.75,0.75
0.7916666666666666,-0.3010299956639812,0.38021124171160603,S015,Floor level,2.4,0,0,0,5,0.5,0,0,0,5,-0.7916666666666666,0.7916666666666666
0.775,-0.26760624017703144,0.38021124171160603,S016,Floor level,2.4,0.2607680962081059,0.11661903789690599,0.06799999999999999,5,0.54,0.10865337342004415,0.0485912657903775,0.011805555555555555,5,-0.775,0.775
0.5916666666666667,-0.00877392430750515,0.38021124171160603,S017,Floor level,2.4,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,0.98,0.01863389981249823,0.008333333333333326,3.472222222222216e-4,5,-0.5916666666666667,0.5916666666666667
0.0833333333333333,0.3424226808222063,0.38021124171160603,S019,Floor level,2.4,0.570087712549569,0.25495097567963926,0.325,5,2.2,0.23753654689565376,0.10622957319984969,0.05642361111111112,5,-0.0833333333333333,0.0833333333333333
0.6666666666666666,0.07918124604762482,0.5563025007672873,S001,Ear level,3.6,0.09999999999999998,0.04472135954999578,0.009999999999999995,5,1.2,0.02777777777777779,0.012422599874998837,7.716049382716057e-4,5,-0.6666666666666666,0.6666666666666666
0.4166666666666667,0.3222192947339193,0.5563025007672873,S002,Ear level,3.6,0.22360679774997896,0.09999999999999999,0.05,5,2.1,0.06211299937499416,0.02777777777777778,0.003858024691358025,5,-0.4166666666666667,0.4166666666666667
0.48333333333333334,0.26951294421791633,0.5563025007672873,S003,Ear level,3.6,0.21908902300206645,0.09797958971132713,0.048,5,1.86,0.06085806194501846,0.027216552697590865,0.003703703703703704,5,-0.48333333333333334,0.48333333333333334
0.22222222222222224,0.4471580313422192,0.5563025007672873,S004,Ear level,3.6,0.44721359549995793,0.19999999999999998,0.2,5,2.8,0.12422599874998833,0.05555555555555556,0.0154320987654321,5,-0.22222222222222224,0.22222222222222224
0.75,-0.045757490560675115,0.5563025007672873,S005,Ear level,3.6,0.21213203435596428,0.09486832980505139,0.045000000000000005,5,0.9,0.058925565098878946,0.026352313834736487,0.0034722222222222207,5,-0.75,0.75
0.5777777777777778,0.18184358794477254,0.5563025007672873,S006,Ear level,3.6,0.49193495504995377,0.22,0.24200000000000002,5,1.52,0.13664859862498716,0.06111111111111111,0.01867283950617284,5,-0.5777777777777778,0.5777777777777778
0.5277777777777778,0.2304489213782739,0.5563025007672873,S007,Ear level,3.6,0.27386127875258304,0.12247448713915889,0.075,5,1.7,0.07607257743127308,0.034020690871988585,0.005787037037037038,5,-0.5277777777777778,0.5277777777777778
0.055555555555555525,0.5797835966168101,0.5563025007672873,S008,Ear level,3.6,0.44721359549995793,0.19999999999999998,0.2,5,3.8,0.12422599874998831,0.05555555555555555,0.015432098765432098,5,0.055555555555555525,0.055555555555555525
0.2777777777777778,0.414973347970818,0.5563025007672873,S009,Ear level,3.6,0.5477225575051661,0.24494897427831777,0.3,5,2.6,0.15214515486254615,0.06804138174397717,0.02314814814814815,5,-0.2777777777777778,0.2777777777777778
0.75,-0.045757490560675115,0.5563025007672873,S010,Ear level,3.6,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.062112999374994184,0.027777777777777787,0.003858024691358028,5,-0.75,0.75
0.5055555555555555,0.250420002308894,0.5563025007672873,S012,Ear level,3.6,0.216794833886788,0.09695359714832658,0.047,5,1.78,0.06022078719077444,0.02693155476342405,0.003626543209876543,5,-0.5055555555555555,0.5055555555555555
0.5277777777777778,0.2304489213782739,0.5563025007672873,S013,Ear level,3.6,0.27386127875258304,0.12247448713915889,0.075,5,1.7,0.07607257743127308,0.034020690871988585,0.005787037037037038,5,-0.5277777777777778,0.5277777777777778
0.5555555555555556,0.2041199826559248,0.5563025007672873,S014,Ear level,3.6,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.24845199749997662,0.1111111111111111,0.061728395061728385,5,-0.5555555555555556,0.5555555555555556
0.7222222222222222,0,0.5563025007672873,S015,Ear level,3.6,0,0,0,5,1,0,0,0,5,-0.7222222222222222,0.7222222222222222
0.6833333333333333,0.05690485133647256,0.5563025007672873,S016,Ear level,3.6,0.21908902300206645,0.09797958971132713,0.048,5,1.14,0.06085806194501843,0.027216552697590855,0.0037037037037037004,5,-0.6833333333333333,0.6833333333333333
0.6222222222222222,0.13353890837021748,0.5563025007672873,S017,Ear level,3.6,0.23021728866442678,0.10295630140987001,0.053000000000000005,5,1.3599999999999999,0.06394924685122969,0.02859897261385279,0.00408950617283951,5,-0.6222222222222222,0.6222222222222222
0.027777777777777804,0.5440680443502757,0.5563025007672873,S019,Ear level,3.6,0.5,0.22360679774997896,0.25,5,3.5,0.1388888888888889,0.062112999374994156,0.019290123456790122,5,-0.027777777777777804,0.027777777777777804
0.6611111111111111,0.08635983067474821,0.5563025007672873,S001,Floor level,3.6,0.22803508501982758,0.10198039027185568,0.05199999999999999,5,1.22,0.06334307917217431,0.028327886186626572,0.0040123456790123425,5,-0.6611111111111111,0.6611111111111111
0.5833333333333334,0.17609125905568124,0.5563025007672873,S002,Floor level,3.6,0.3535533905932738,0.15811388300841897,0.125,5,1.5,0.09820927516479826,0.04392052305789415,0.00964506172839506,5,-0.5833333333333334,0.5833333333333334
0.5,0.25527250510330607,0.5563025007672873,S003,Floor level,3.6,0.27386127875258304,0.12247448713915889,0.075,5,1.8,0.07607257743127308,0.034020690871988585,0.005787037037037038,5,-0.5,0.5
0.3055555555555556,0.3979400086720376,0.5563025007672873,S004,Floor level,3.6,0,0,0,5,2.5,0,0,0,5,-0.3055555555555556,0.3055555555555556
0.7722222222222223,-0.08618614761628333,0.5563025007672873,S005,Floor level,3.6,0.16431676725154987,0.07348469228349536,0.027000000000000007,5,0.82,0.04564354645876386,0.02041241452319316,0.002083333333333335,5,-0.7722222222222223,0.7722222222222223
0.7055555555555555,0.02530586526477026,0.5563025007672873,S006,Floor level,3.6,0.2607680962081059,0.11661903789690599,0.06799999999999999,5,1.06,0.07243558228002939,0.032394177193584985,0.0052469135802469076,5,-0.7055555555555555,0.7055555555555555
0.3888888888888889,0.3424226808222063,0.5563025007672873,S007,Floor level,3.6,0.27386127875258304,0.12247448713915889,0.075,5,2.2,0.07607257743127308,0.034020690871988585,0.005787037037037038,5,-0.3888888888888889,0.3888888888888889
0.16666666666666669,0.47712125471966244,0.5563025007672873,S008,Floor level,3.6,0,0,0,5,3,0,0,0,5,-0.16666666666666669,0.16666666666666669
0.3888888888888889,0.3424226808222063,0.5563025007672873,S009,Floor level,3.6,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.12422599874998833,0.05555555555555556,0.0154320987654321,5,-0.3888888888888889,0.3888888888888889
0.7222222222222222,0,0.5563025007672873,S010,Floor level,3.6,0.6123724356957945,0.27386127875258304,0.375,5,1,0.17010345435994292,0.07607257743127306,0.02893518518518519,5,-0.7222222222222222,0.7222222222222222
0.4222222222222222,0.31806333496276157,0.5563025007672873,S012,Floor level,3.6,0.40249223594996214,0.18,0.162,5,2.08,0.11180339887498948,0.049999999999999996,0.012499999999999999,5,-0.4222222222222222,0.4222222222222222
0.5833333333333334,0.17609125905568124,0.5563025007672873,S013,Floor level,3.6,0,0,0,5,1.5,0,0,0,5,-0.5833333333333334,0.5833333333333334
0.36111111111111116,0.36172783601759284,0.5563025007672873,S014,Floor level,3.6,0.570087712549569,0.25495097567963926,0.325,5,2.3,0.15835769793043583,0.07081971546656646,0.025077160493827164,5,-0.36111111111111116,0.36111111111111116
0.8055555555555556,-0.1549019599857432,0.5563025007672873,S015,Floor level,3.6,0.27386127875258304,0.12247448713915889,0.075,5,0.7,0.0760725774312731,0.0340206908719886,0.005787037037037042,5,-0.8055555555555556,0.8055555555555556
0.7666666666666666,-0.07572071393811836,0.5563025007672873,S016,Floor level,3.6,0.15165750888103102,0.06782329983125268,0.023000000000000007,5,0.84,0.0421270858002864,0.018839805508681303,0.0017746913580246923,5,-0.7666666666666666,0.7666666666666666
0.6166666666666667,0.13987908640123647,0.5563025007672873,S017,Floor level,3.6,0.16431676725154987,0.07348469228349536,0.027000000000000007,5,1.38,0.04564354645876386,0.02041241452319316,0.002083333333333335,5,-0.6166666666666667,0.6166666666666667
0.027777777777777804,0.5440680443502757,0.5563025007672873,S019,Floor level,3.6,0.5,0.22360679774997896,0.25,5,3.5,0.1388888888888889,0.062112999374994156,0.019290123456790122,5,-0.027777777777777804,0.027777777777777804
